dataset_name,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
607,5,8071,1615,1614,0.4,0,0,0,0,0,0,0,0,3,3,0,24,0.571760622,0.042714982,1.729542456,0.172385796,0.893409481,0.001913735,3.829441668,0.809413591,0,0,0,0,1.2,1,2,0.4,2,2,2,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.371865779,0,0,0.500402424
608,5,2986,598,597,0.4,0,0,0,0,0,0,0,0,2,2,0,24,0.538011116,0.142351321,1.019149968,0.111251856,0.993127428,0.411757106,1.456133525,0.100582711,0,0,0,0,0.2,0,1,0.4,1,1,1,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.339704107,0,0,0
604,5,5840,1168,1168,0,0,0,0,0,0,0,0,0,3,3,0,24,0.403128834,0.260445241,0.548451087,0.001860399,0.630460968,0.175424348,1.006410265,0.001188892,0,0,0,0,1.8,0,3,1.469693846,3,3,3,0,3,3,3,0,3,3,3,0,1,1,1,0,0,0,0,0,-0.052597828,0,0,0.673011667
605,5,2920,584,584,0,0,0,0,0,0,0,0,0,7,6,1,24,0.239051328,0.000606259,1.545467223,0.15945251,0.432648514,0.024975607,1.120397634,0.125666277,1,1,1,0,1.2,0,5,1.939071943,6,6,6,0,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.154955478,0,0,0.500402424
601,5,12520,2504,2504,0,0,0,0,0,0,0,0,0,1,1,0,24,0.667991968,0.169845239,1.552495872,0,1.090933273,0.395614782,1.318334293,0,0,0,0,0,0.8,0,1,0.4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601662139,0,0,0
602,5,5953,1191,1190,0.489897949,0,0,0,0,0,0,0,0,1,1,0,24,0.573326746,0.098270543,1.019419004,0,0.806745783,0.321410614,1.677669173,0,0,0,0,0,0.6,0,1,0.489897949,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486544996,0,0,0
609,5,8700,1740,1740,0,0,0,0,0,0,0,0,0,1,0,1,24,0.363169879,0,1.401999568,0,0.300547243,0,1.112745319,0,1.8,0,3,0,0.4,0,1,0.489897949,0,0,0,0,0.4,0,1,0.489897949,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.673011667
610,5,8700,1740,1740,0,0,0,0,0,0,0,0,0,3,3,0,24,1.263312203,0.03833384,3.37781564,0.005534839,3.522847685,0.314966307,11.66035029,0.062441305,0,0,0,0,1.6,0,3,1.356465997,3,3,3,0,3,3,3,0,3,3,3,0,1,1,1,0,0,0,0,0,0.222861291,0,0,0.673011667
606,5,8071,1615,1614,0.4,0,0,0,0,0,0,0,0,3,3,0,24,0.601397113,0.048782502,1.906980953,0.128185718,1.081796758,0.208996489,4.441300345,0.636906495,0,0,0,0,1.4,1,3,0.8,2,2,2,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.154185738,0,0,0.500402424
603,5,59139,11828,11827,0.4,0,0,0,0,0,0,0,0,1,1,0,24,1.02487951,0.84611498,1.178951847,0,0.760616354,0.056369223,1.331510503,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.453253445,0,0,0
611,5,7299,1460,1459,0.4,0,0,0,0,0,0,0,0,2,2,0,72,0.700166407,0.018219961,1.660081363,0.328641427,1.300069191,0.020227606,4.393483292,0.847258672,0,0,0,0,0.4,0,1,0.489897949,1.2,1,2,0.4,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.486455808,0,0,0
612,5,7520,1504,1504,0,0,0,0,0,0,0,0,0,2,2,0,24,0.347944778,0.000318571,1.662815463,0.406040785,1.208721376,0.388961405,1.633287139,0.142866388,0,0,0,0,1.8,1,2,0.4,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548996952,0,0,0
600,5,5641,1129,1128,0.4,0,0,0,0,0,0,0,0,4,4,0,1,0.674211046,0.000760787,1.791229057,0.22431507,0.935094178,0.054359814,2.459749334,0.212420947,0,0,0,0,3.2,1,4,1.166190379,3,3,3,0,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0.619930678,0,0,0.500402424
607,15,8066,538,537,0.442216639,0,0,0,0,0,0,0,0,2,2,0,24,0.677573085,0.004470801,2.439581482,0.132002086,1.378478162,0.003621642,6.889087719,0.35214306,0,0,0,0,1.133333333,0,2,0.498887652,1.133333333,1,2,0.339934634,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.342336392,0,0,0.579915171
601,15,12518,835,834,0.498887652,0,0,0,0,0,0,0,0,2,2,0,24,0.548307821,0.056221096,2.040613203,0.330251791,0.993058573,0.049501818,5.709045872,0.884840891,0,0,0,0,1,0,2,0.365148372,1.066666667,1,2,0.249443826,1.933333333,1,2,0.249443826,1,1,1,0,0,0,0,0,0,0,0,0,0.60875258,0,0,0.244930027
609,15,8700,580,580,0,0,0,0,0,0,0,0,0,1,0,1,24,0.100169842,0,1.113609682,0,0.374559332,0,1.8577255,0,2.2,0,3,0,0.066666667,0,1,0.249443826,0,0,0,0,0.266666667,0,1,0.442216639,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.579915171
610,15,8700,580,580,0,0,0,0,0,0,0,0,0,4,4,0,24,0.551066187,0,2.131928943,0.17438477,1.018143699,0,4.226778492,0.477710252,0.2,0,3,0,1.266666667,0,4,1.569146973,3.133333333,0,4,0.956846673,3.733333333,0,4,0.997775303,3,3,3,0,1,1,1,0,0,0,0,0,,0,0,0.673011667
606,15,8066,538,537,0.442216639,0,0,0,0,0,0,0,0,4,4,0,24,0.612344382,0.046670782,2.094522193,0.13215015,0.986363652,0.03587247,4.689518168,0.140427975,0,0,0,0,1.466666667,0,4,1.30979218,3.066666667,3,4,0.249443826,3.933333333,3,4,0.249443826,3,3,3,0,1,1,1,0,0,0,0,0,0.101139569,0,0,0.579915171
603,15,59134,3943,3942,0.442216639,0,0,0,0,0,0,0,0,2,2,0,24,0.589388863,0.089431952,1.511842305,0.156314793,0.933712918,0.011313136,2.938194251,0.418061487,0,0,0,0,1.333333333,0,2,0.596284794,1,1,1,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.482425113,0,0,0.579915171
611,15,7294,487,486,0.442216639,0,0,0,0,0,0,0,0,3,3,0,24,0.510505848,0.017852111,2.28653381,0.150400082,1.038404802,0.01612367,4.765590669,0.133896332,0,0,0,0,0.666666667,0,3,0.788810638,2.066666667,2,3,0.249443826,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.486414271,0,0,0.244930027
