model_name,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
XGBRegressor,5,13821,2765,2764,0.3999999999999999,5.194971252711823,4.811866859623734,5.680173661360347,0.3340595284548457,5.194971252711823,4.811866859623734,5.680173661360347,0.3340595284548457,3,2,1,0.1666666666666666,1.8292494242073527,0.0247814897495774,4.454146306861659,0.0007832917519678,9.125115750521868,1.08112689908328,23.734268292641897,0.0045972057090972,1.0,1,1,0,1.0,0,2,0.8944271909999159,3.0,3,3,0.0,3.0,3,3,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0479762818297911,0,0,0.6730116670092565
HUBERREGRESSOR,10,13821,1383,1382,0.3,5.100910058358002,4.341534008683068,6.005788712011578,0.4667090596246656,5.100910058358002,4.341534008683068,6.005788712011578,0.4667090596246656,2,1,1,0.1666666666666666,0.2701064506370065,1.151407627123175e-05,1.177560174403226,0.0,1.0603407829007954,0.0906841326907108,1.326197187821798,0.0,1.0,1,1,0,0.7,0,1,0.4582575694955839,1.2,1,2,0.4,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.045901068695027,0,0,0.6108643020548935
XGBRegressor,15,13816,922,921,0.2494438257849293,5.218627305508254,4.234527687296417,6.948968512486428,0.7100058264844866,5.218627305508254,4.234527687296417,6.948968512486428,0.7100058264844866,3,3,0,0.1666666666666666,0.7363429491118924,2.93592945324657e-05,4.942912887888654,1.0074258153407245,3.840500202471388,0.1279397291312412,30.563398094609543,5.695804321726422,0.0,0,0,0,1.0,1,1,0.0,2.1333333333333333,2,3,0.339934634239519,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0471901136540735,0,0,0.6365141682948128
XGBRegressor,5,6336,1268,1267,0.4,5.145155226459582,4.41988950276243,5.524861878453039,0.4091852100599292,5.145155226459582,4.41988950276243,5.524861878453039,0.4091852100599292,5,4,1,1.0,2.3604507247057125,0.0931779421148969,4.660746543804869,0.5310219058160074,11.742146904675277,0.5305183415370625,26.89143000282681,4.627199589697952,1.0,1,1,0,4.2,4,5,0.3999999999999999,4.2,4,5,0.3999999999999999,5.0,5,5,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.1048522377427217,0,0,0.0
LinearSVR,5,10366,2074,2073,0.3999999999999999,5.112864533253695,4.582730342498794,5.306319343945972,0.2710848909962032,5.112864533253695,4.582730342498794,5.306319343945972,0.2710848909962032,5,4,1,0.1666666666666666,0.9410378140017992,0.0133075370669038,3.72273980586564,0.5663053041477537,3.915393812664522,0.4803902567287976,18.917949965447832,3.272178457894644,1.0,1,1,0,1.0,0,4,1.5491933384829668,4.0,4,4,0.0,5.0,5,5,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0587832281633897,0,0,0.5004024235381879
LinearSVR,10,10361,1037,1036,0.3,4.989910009196413,4.054054054054054,5.598455598455598,0.5361514142388182,4.989910009196413,4.054054054054054,5.598455598455598,0.5361514142388182,2,2,0,0.1666666666666666,0.1580027326253829,0.0,0.9457402081694152,0.211366817257784,1.2236148426833746,0.5321228713964636,1.6452959194114924,0.1336819525790394,0.0,0,0,0,0.8,0,1,0.4,1.0,1,1,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0543160299453786,0,0,0.5004024235381879
XGBRegressor,5,12671,2535,2534,0.3999999999999999,4.900915206057578,4.143646408839778,5.404339250493097,0.4983696992784531,4.900915206057578,4.143646408839778,5.404339250493097,0.4983696992784531,4,3,1,0.5,1.807185846240868,0.0494936457961895,4.408677848159035,0.0046295495267555,7.908902336180541,0.7688223528419504,22.98024897643588,0.0570606789855251,1.0,1,1,0,3.4,1,4,1.2000000000000002,4.0,4,4,0.0,4.0,4,4,0.0,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0841759393000551,0,0,0.5004024235381879
LinearSVR,10,12671,1268,1267,0.3,5.090360995819629,3.7095501183898976,5.919494869771113,0.5378898937043555,5.090360995819629,3.7095501183898976,5.919494869771113,0.5378898937043555,3,2,1,0.5,1.1409339626538768,5.033259886971314e-06,4.717723692936517,1.176145924304194,5.421428426857494,0.8154169727008034,28.13126156563921,6.784181505864621,1.0,1,1,0,1.7,1,3,0.6403124237432849,2.1,2,3,0.3,3.0,3,3,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0844523902512943,0,0,0.6730116670092565
XGBRegressor,15,12661,845,844,0.2494438257849293,5.031202968862465,3.672985781990521,6.398104265402843,0.6988057707550076,5.031202968862465,3.672985781990521,6.398104265402843,0.6988057707550076,6,6,0,0.5,1.4261966163770103,9.28101750338078e-05,4.943806142436909,0.8728791756275274,6.984882033445465,0.1335440741292912,31.668162564168952,5.339286531700999,0.0,0,0,0,1.6,0,4,1.743559577416269,5.533333333333333,5,6,0.498887651569859,5.933333333333334,5,6,0.2494438257849293,4.0,4,4,0.0,2.0,2,2,0.0,0.0,0,0,0.0,0.079663502470535,0,0,0.6365141682948128
XGBRegressor,5,27646,5530,5529,0.3999999999999999,4.988074387979606,4.6835443037974684,5.498281786941581,0.288066209133997,4.988074387979606,4.6835443037974684,5.498281786941581,0.288066209133997,1,0,1,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0302427572154052,0,0,0.5004024235381879
