dataset_name,num_clients,train_loss,test_loss,time_taken,model_name,model_parameters,first_model,second_model,third_model
600,5,3.942243849,3.164550145,300.7666667,LinearSVR,"{'C': 2, 'epsilon': 0.044546299368311955}",LASSO,HUBERREGRESSOR,LinearSVR
600,10,3.884927443,3.583309272,300.6666667,QUANTILEREGRESSOR,"{'alpha': 0.6028011010557264, 'quantile': 0.18876594721123574}",XGBRegressor,LASSO,QUANTILEREGRESSOR
601,5,0.027747673,0.02607425,304.9333333,QUANTILEREGRESSOR,"{'alpha': 33.21118634392301, 'quantile': 0.10031268485686229}",LASSO,QUANTILEREGRESSOR,XGBRegressor
601,10,0.025329634,0.01911454,318.1,HUBERREGRESSOR,"{'alpha': 1.9908542772174783e-05, 'selection': 'random'}",LASSO,XGBRegressor,HUBERREGRESSOR
601,15,0.01141106,0.011561471,300.7333333,QUANTILEREGRESSOR,"{'alpha': 2.511321755862927, 'quantile': 0.20153036605136165}",XGBRegressor,QUANTILEREGRESSOR,LinearSVR
601,20,0.005968288,0.006059366,557.2666667,HUBERREGRESSOR,"{'epsilon': 1.4969004437920796, 'alpha': 11.269596349391305}",HUBERREGRESSOR,LASSO,LinearSVR
602,5,12.52775861,5.337510586,300.5666667,QUANTILEREGRESSOR,"{'alpha': 0.001, 'quantile': 0.16056465113290114}",LASSO,XGBRegressor,QUANTILEREGRESSOR
602,10,7.749049022,3.353649004,309.5,LASSO,"{'alpha': 0.0005837791384065892, 'selection': 'cyclic'}",HUBERREGRESSOR,LASSO,XGBRegressor
603,5,30.66351378,26.55383987,300.3666667,LASSO,"{'alpha': 0.9447046716873976, 'selection': 'cyclic'}",QUANTILEREGRESSOR,ELASTICNETCV,LASSO
603,10,29.52497464,29.30112286,300.5666667,QUANTILEREGRESSOR,"{'alpha': 49.56560510815367, 'quantile': 0.7198768621516461}",QUANTILEREGRESSOR,ELASTICNETCV,LASSO
603,15,28.50485291,25.80361446,300.4666667,LinearSVR,"{'C': 5, 'epsilon': 0.014199909689225389}",XGBRegressor,QUANTILEREGRESSOR,LinearSVR
603,20,27.27495528,29.37221711,300.9,LASSO,"{'alpha': 0.0027055156996472467, 'selection': 'random'}",XGBRegressor,LinearSVR,LASSO
604,5,390.3817624,434.5014445,300.3666667,LinearSVR,"{'C': 3, 'epsilon': 0.06747704532403002}",HUBERREGRESSOR,LASSO,LinearSVR
604,10,372.3548691,535.6516666,300.9,LASSO,"{'alpha': 0.00011394015642027429, 'selection': 'random'}",QUANTILEREGRESSOR,HUBERREGRESSOR,LASSO
605,5,2.95106856,3.104374584,300.6333333,LinearSVR,"{'C': 3, 'epsilon': 0.023058596536901656}",HUBERREGRESSOR,LinearSVR,LASSO
606,5,0.054522757,0.045858686,300.4,LASSO,"{'alpha': 0.009682951108491258, 'selection': 'cyclic'}",HUBERREGRESSOR,QUANTILEREGRESSOR,LASSO
606,10,0.05097825,0.058523592,308.7333333,LinearSVR,"{'C': 10, 'epsilon': 0.0655733358664945}",HUBERREGRESSOR,XGBRegressor,LinearSVR
606,15,0.082730046,0.075742548,300.2333333,HUBERREGRESSOR,"{'epsilon': 1.494043429008593, 'alpha': 3.234509669060613}",HUBERREGRESSOR,XGBRegressor,QUANTILEREGRESSOR
